rule  top1  top2  top3  null_mean_top2  null_q975  null_max  null_ge_observed
  98  0.689608991  0.988412663  0.996688245  0.557548314  0.617508274  0.657037823  0/500
 159  0.484231949  0.838194367  0.970575120  0.462065805  0.518620933  0.571078537  0/500
 151  0.567531215  0.767367729  0.858449730  0.558413402  0.607951618  0.649050323  0/500
 143  0.741582381  0.913689632  0.977045170  0.465668039  0.532343905  0.580786415  0/500
 142  0.586250707  0.958159875  0.993047728  0.554111853  0.625322771  0.712736241  0/500
  14  0.624220542  0.950402256  0.990564228  0.530921584  0.601233161  0.643889395  0/500
 113  0.586250707  0.958159875  0.993047728  0.553229799  0.616943790  0.663039347  0/500
 226  0.708878905  0.950577234  0.990005338  0.503188826  0.614383254  0.702659270  0/500
 129  0.652005062  0.825068841  0.933944596  0.481228842  0.542713234  0.569351830  0/500
 110  0.463017805  0.809642052  0.907869192  0.493145915  0.557672640  0.621031045  0/500
 126  0.707482882  0.900143966  0.966080062  0.488478262  0.563698583  0.591365603  0/500
